naics,industry,role,bucket_order,receipts_band_usd_000,firms,establishments,employment,payroll_usd_000,receipts_usd_000
337920,Blind and shade manufacturing,manufacturer,05,"1,000-2,499",59,60,557,23120,92172
337920,Blind and shade manufacturing,manufacturer,06,"2,500-4,999",28,28,490,24513,93141
337920,Blind and shade manufacturing,manufacturer,07,"5,000-7,499",17,18,473,22603,104080
337920,Blind and shade manufacturing,manufacturer,08,"7,500-9,999",6,6,282,10382,50190
337920,Blind and shade manufacturing,manufacturer,09,"10,000-14,999",11,11,525,23943,117262
337920,Blind and shade manufacturing,manufacturer,10,"15,000-19,999",6,7,315,17578,101092
337920,Blind and shade manufacturing,manufacturer,12,"25,000-29,999",3,3,343,21240,77093
337920,Blind and shade manufacturing,manufacturer,18,"100,000+",10,29,6330,386514,1548659
442291,Window treatment stores,retail_dealer,01,Total,1901,2170,8548,431595,2773325
442291,Window treatment stores,retail_dealer,02,<100,166,166,131,1646,8634
442291,Window treatment stores,retail_dealer,03,100-499,635,637,1024,30856,182042
442291,Window treatment stores,retail_dealer,04,500-999,462,464,1334,55732,330025
442291,Window treatment stores,retail_dealer,05,"1,000-2,499",432,440,2229,118609,660005
442291,Window treatment stores,retail_dealer,06,"2,500-4,999",149,167,1635,96657,489970
442291,Window treatment stores,retail_dealer,07,"5,000-7,499",22,34,385,23908,134906
442291,Window treatment stores,retail_dealer,08,"7,500-9,999",10,10,245,18721,83181
442291,Window treatment stores,retail_dealer,09,"10,000-14,999",10,13,309,23521,97557
442291,Window treatment stores,retail_dealer,10,"15,000-19,999",5,8,159,10662,77918
442291,Window treatment stores,retail_dealer,18,"100,000+",4,171,670,25332,526423
