hs_code,hs_label,year,partner_code,partner,value_usd,net_weight_kg,is_aggregate
940330,Wooden furniture — office,2021,705,Slovenia,73361.0,19316.665,False
940330,Wooden furniture — office,2021,704,Viet Nam,103256241.0,27188372.309,False
940330,Wooden furniture — office,2021,112,Belarus,116085.0,30566.309,False
940330,Wooden furniture — office,2021,332,Haiti,264.0,69.514,False
940330,Wooden furniture — office,2022,392,Japan,87369.0,19974.254,False
940330,Wooden furniture — office,2022,116,Cambodia,434998.0,99449.011,False
940330,Wooden furniture — office,2022,251,France,2581550.0,590192.584,False
940330,Wooden furniture — office,2022,724,Spain,1336188.0,305478.588,False
940330,Wooden furniture — office,2022,76,Brazil,2390084.0,546419.729,False
940330,Wooden furniture — office,2022,558,Nicaragua,12504.0,2858.658,False
940330,Wooden furniture — office,2022,276,Germany,11284105.0,2579766.065,False
940330,Wooden furniture — office,2022,470,Malta,2096.0,479.186,False
940330,Wooden furniture — office,2022,688,Serbia,667393.0,152579.032,False
940330,Wooden furniture — office,2022,422,Lebanon,83386.0,19063.663,False
940330,Wooden furniture — office,2022,710,South Africa,253543.0,57964.865,False
940330,Wooden furniture — office,2022,100,Bulgaria,408822.0,93464.668,False
940330,Wooden furniture — office,2022,32,Argentina,89337.0,20424.177,False
940330,Wooden furniture — office,2022,56,Belgium,471594.0,107815.569,False
940330,Wooden furniture — office,2022,372,Ireland,25374.0,5800.99,False
940330,Wooden furniture — office,2022,579,Norway,25702.0,5875.978,False
940330,Wooden furniture — office,2022,704,Viet Nam,80232663.0,18342748.611,False
940330,Wooden furniture — office,2022,208,Denmark,2185801.0,499716.658,False
940330,Wooden furniture — office,2022,548,Vanuatu,886.0,202.557,False
940330,Wooden furniture — office,2022,784,United Arab Emirates,93984.0,21486.572,False
940330,Wooden furniture — office,2022,524,Nepal,464.0,106.079,False
940330,Wooden furniture — office,2022,818,Egypt,79319.0,18133.867,False
940330,Wooden furniture — office,2022,804,Ukraine,34207.0,7820.386,False
940330,Wooden furniture — office,2022,528,Netherlands,903941.0,206658.509,False
940330,Wooden furniture — office,2022,124,Canada,378778996.0,86596251.988,False
940330,Wooden furniture — office,2022,144,Sri Lanka,975.0,222.904,False
940330,Wooden furniture — office,2022,699,India,4616876.0,1055507.728,False
940330,Wooden furniture — office,2022,376,Israel,78455.0,17936.34,False
940330,Wooden furniture — office,2022,214,Dominican Rep.,4368.0,998.61,False
940330,Wooden furniture — office,2022,480,Mauritius,562.0,128.484,False
940330,Wooden furniture — office,2022,440,Lithuania,15951482.0,3646819.305,False
940330,Wooden furniture — office,2022,288,Ghana,881.0,201.414,False
940330,Wooden furniture — office,2022,246,Finland,23409535.0,5351875.403,False
940330,Wooden furniture — office,2022,752,Sweden,1481373.0,338670.705,False
940330,Wooden furniture — office,2022,344,"China, Hong Kong SAR",164864.0,37691.12,False
940330,Wooden furniture — office,2022,196,Cyprus,2131.0,487.188,False
940330,Wooden furniture — office,2022,586,Pakistan,40801.0,9327.903,False
940330,Wooden furniture — office,2022,792,Türkiye,2285937.0,522609.697,False
940330,Wooden furniture — office,2022,410,Rep. of Korea,5530479.0,1264375.158,False
940330,Wooden furniture — office,2022,826,United Kingdom,14780232.0,3379048.755,False
940330,Wooden furniture — office,2022,31,Azerbaijan,2491.0,569.491,False
940330,Wooden furniture — office,2022,320,Guatemala,2339.0,534.741,False
940330,Wooden furniture — office,2022,554,New Zealand,7372.0,1685.383,False
